iter	Passed	Remaining
863	1522	239
864	1523	237
865	1525	236
866	1526	234
867	1528	232
868	1530	230
869	1531	228
870	1533	227
871	1535	225
872	1536	223
873	1538	221
874	1540	220
875	1541	218
876	1543	216
877	1544	214
878	1546	212
879	1548	211
880	1549	209
881	1551	207
882	1552	205
883	1554	203
884	1555	202
885	1557	200
886	1558	198
887	1560	196
888	1561	194
889	1563	193
890	1565	191
891	1566	189
892	1568	187
893	1570	186
894	1571	184
895	1573	182
896	1574	180
897	1575	178
898	1577	177
899	1579	175
900	1580	173
901	1582	171
902	1584	170
903	1585	168
904	1587	166
905	1588	164
906	1590	163
907	1592	161
908	1594	159
909	1595	157
910	1597	156
911	1600	154
912	1601	152
913	1603	150
914	1604	149
915	1606	147
916	1607	145
917	1609	143
918	1611	142
919	1613	140
920	1614	138
921	1615	136
922	1617	134
923	1619	133
924	1620	131
925	1622	129
926	1624	127
927	1625	126
928	1627	124
929	1628	122
930	1631	120
931	1633	119
932	1634	117
933	1636	115
934	1637	113
935	1639	112
936	1641	110
937	1643	108
938	1645	106
939	1647	105
940	1648	103
941	1650	101
942	1651	99
943	1653	98
944	1655	96
945	1656	94
946	1659	92
947	1661	91
948	1664	89
949	1667	87
950	1669	86
951	1670	84
952	1672	82
953	1674	80
954	1675	78
955	1677	77
956	1679	75
957	1681	73
958	1682	71
959	1683	70
960	1684	68
961	1685	66
962	1687	64
963	1688	63
964	1689	61
965	1691	59
966	1693	57
967	1695	56
968	1697	54
969	1698	52
970	1699	50
971	1701	49
972	1703	47
973	1704	45
974	1706	43
975	1707	41
976	1709	40
977	1711	38
978	1712	36
979	1714	34
980	1715	33
981	1718	31
982	1719	29
983	1721	27
984	1722	26
985	1724	24
986	1725	22
987	1727	20
988	1729	19
989	1731	17
990	1732	15
991	1734	13
992	1736	12
993	1737	10
994	1739	8
995	1740	6
996	1742	5
997	1743	3
998	1745	1
999	1746	0
