AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Class,Timestamp
0.22797513,-0.39392185,0.44565296,-0.010842858,-0.10751228,-0.07826711,AGGRESSIVE,3582404
0.2539816,0.63453865,0.33338833,0.03191771,0.018325957,-0.0110719325,SLOW,3583188
1.6153026,-0.72035074,-0.4547453,-0.058490347,-0.1160644,-0.12713633,NORMAL,3581902
-0.02423501,0.7194964,0.18443394,0.046578474,0.023823744,0.037797287,NORMAL,3581760
1.0352476,0.56940544,-0.6775236,-0.012675454,-0.07269296,-0.099647395,NORMAL,3582164
-1.6454118,-1.4659209,1.3414555,0.07040222,0.018936822,0.08666651,NORMAL,3582124
0.3626731,-0.087537944,-0.048531532,0.074067414,0.031154128,0.017027868,SLOW,3583255
-0.21787393,-1.9406888,1.3679199,-0.00045814895,-0.06536258,0.012751812,AGGRESSIVE,3582738
0.296224,0.3719053,0.47854328,-0.038331795,-0.13805555,0.010919216,AGGRESSIVE,3582574
-0.2929368,-0.6836906,1.2604847,-0.052381694,-0.07086037,0.014584408,SLOW,3583478
0.5102031,0.60991746,-0.24044895,-0.009010263,0.062308256,0.0048105638,SLOW,3583395
-0.31716812,-1.3101573,0.24253082,0.0050396384,-0.13744467,-0.06604981,SLOW,3583093
-0.25500977,-0.1275203,0.40446758,0.03313944,-0.01282817,-0.028787024,AGGRESSIVE,3582700
0.4392352,-0.02749759,-1.085084,0.03313944,0.04642576,-0.019013181,SLOW,3583271
0.93017673,0.8451406,0.82563686,-0.02977968,0.053145275,-0.058719423,SLOW,3583066
-2.6206374,-0.5814907,-2.7191024,0.03436117,0.070249505,0.10560333,AGGRESSIVE,3582721
-0.76638544,-0.7531625,-0.51207066,0.0759,0.017715093,-0.19310978,SLOW,3583079
1.6964414,1.9564718,-0.55790806,-0.12751812,0.04153884,-0.24503332,AGGRESSIVE,3582947
0.885093,-0.8465764,0.4308195,-0.02611449,0.021380283,0.051236324,AGGRESSIVE,3582784
1.3347769,0.001606226,-1.0879507,0.018478673,-0.028710667,-0.10942124,SLOW,3583751
0.78826666,0.26522818,-1.6807771,0.024587326,-0.0018325958,0.034132097,SLOW,3583673
-0.12084031,0.48724443,1.6107874,0.006872234,-0.01038471,0.03352123,SLOW,3583518
1.4664464,-0.09209782,-0.6404524,-0.087201014,0.0983493,-0.4967098,SLOW,3583452
-0.058443308,-0.20075727,0.52597904,0.047800206,-0.029932396,-0.019013181,SLOW,3583139
