AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Timestamp
-1.8749702,-2.4750395,0.94353294,-0.01038471,0.014278975,0.22708915,819079
-0.17013884,0.104310796,-0.36226845,0.0067195175,-0.03520111,0.14401148,820067
0.92523843,-0.77285004,-2.944891,0.08857546,0.008781188,-0.014813482,819062
-0.9326979,-1.2685201,-0.06832123,-0.028710667,0.15661058,0.059101213,820160
1.2414839,-1.4912348,0.46185112,0.054367006,-0.06269005,-0.10949759,819855
0.7139244,0.33632314,1.3921099,-0.086132,0.005726862,-0.088728175,819605
1.9444711,0.5449353,0.009274483,-0.013439035,0.027107146,-0.044135015,819526
-0.5474365,0.069028854,0.16601276,-0.020158553,-0.08040514,0.05299256,820159
0.007958651,-0.8409453,-0.1218729,-0.03604105,0.039935317,0.02367103,820387
-0.30936885,0.78700995,1.194932,0.020158553,0.065591656,0.10430524,820150
-0.12092948,-0.22795784,-0.12672424,0.00061086525,0.042378776,-0.094225965,820690
0.015494823,0.015328646,0.1345377,0.007330383,0.025885414,0.0047342055,819155
-1.146857,1.5371252,0.5561447,-0.014660766,0.068645984,0.08475755,819614
-1.262578,-1.790165,-0.9801626,0.029321533,-0.005879578,0.010231993,819263
0.75986004,0.87586224,-1.0122766,0.020158553,0.068645984,-0.0025961774,819581
0.9910469,-0.8525612,0.68788815,0.004886922,0.045433104,0.020005837,818965
-0.8485117,-0.8555356,1.3440619,0.029932396,0.145615,0.010231993,820199
-0.12764585,0.7030248,-0.6706953,0.0012217305,0.07475463,0.035277467,820643
0.41104996,-0.6485538,0.17467976,0.07452556,-0.065133505,0.4549419,819693
0.41816616,-1.4599191,1.9629345,0.05375614,0.02893974,0.6534731,819965
-1.8653195,-1.2636087,0.7845812,-0.018936822,-0.18486309,-0.13942999,819860
-0.9005631,0.0013919473,0.84343815,0.0983493,0.052763484,-0.014202617,819520
-0.18253303,-1.3183713,-0.3672495,0.07391469,-0.10667235,0.117744274,819564
0.095279455,-1.6300887,1.2687283,0.034208454,0.22075143,0.035888333,819113
0.4513759,0.23446321,-0.05523777,0.07574729,-0.07368562,0.49831334,819145
